Job_Title,Company_Name,Ratings,Location,Salary_Estimates,Company_Size,Founding_Year,Type,Industry,Sector,Revenue,Min_Salary,Max_Salary,Avg_Salary,Age
"Data Analyst (Kafka, API)",ITI Data,4.0,Hyderābād,4 - 6 ,201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.0,6.0,5.0,26
FBT Data Operations - Document Control & Engineering Data Analyst,BP Energy,3.9,Pune,6 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),6.0,7.0,6.5,117
Business system owner Order management – Senior Analyst,Sanofi EU,4.0,Hyderābād,8 - 10 ,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),8.0,10.0,9.0,52
Vendor Master Data Management Analyst,Sanofi EU,4.0,Hyderābād,6 - 10 ,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),6.0,10.0,8.0,52
Global Planning Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Global Planning Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
FP&A Analytics & Digitization Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Systems and Performance Insights Analyst - TSI,BP Energy,3.9,Pune,5 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,8.0,6.5,117
Risk Assurance - Senior Analyst,Sanofi EU,4.0,Hyderābād,3 - 7 ,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),3.0,7.0,5.0,52
Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
FP&A Analytics & Digitization Solutions Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
FP&A Analytics & Digitization Solution delivery project Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Asset & Wealth Management Operations - Ops Product Data - Analyst - Hyderabad,Goldman Sachs,3.8,Hyderābād,8 - 10 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),8.0,10.0,9.0,156
Benchmarking Analyst - TSI,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Technology &Transformation | EAD Engineering | Data Analyst,Deloitte,4.0,Bengaluru,6 - 9 ,10000+ Employees,1850,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable,6.0,9.0,7.5,175
Senior AR Analyst,BP Energy,3.9,Pune,6 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),6.0,7.0,6.5,117
FP&A O&G Data Modelling Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Associate Analyst - Data Solutions,Altus Group,3.6,Telangana,4 - 10 ,1001 to 5000 Employees,2005,Company - Public,Real estate,Real estate,$100 to $500 million (USD),4.0,10.0,7.0,20
Data Analyst,DAZN,2.9,Hyderābād,8 - 10 ,1001 to 5000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,8.0,10.0,9.0,10
Data Analyst,L&T Technology Services Limited.,3.4,Vadodara,4 - 6 ,10000+ Employees,2014,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),4.0,6.0,5.0,11
Data Analyst - Offshore,Quest Global,3.7,Bengaluru,7 - 9 ,10000+ Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),7.0,9.0,8.0,28
"Analyst - Model Risk Management, Model Validation",BlackRock Investments,3.9,Gurgaon,6 - 9 ,10000+ Employees,1988,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),6.0,9.0,7.5,37
Junior Business Analyst - Asset Management Risk Controls,Delta Capita,3.3,Hyderābād,7 - 10 ,501 to 1000 Employees,2012,Company - Private,Investment & Asset Management,Finance,$25 to $50 million (USD),7.0,10.0,8.5,13
Data Analyst,HNM Solutions,4.3,Pune,3 - 6 ,51 to 200 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,3.0,6.0,4.5,-1
FBT Data Operations - Document Control & Engineering Data Analyst,BP Energy,3.9,Pune,6 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),6.0,7.0,6.5,117
Senior Analyst - Logistics AU,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Performance Analyst - TSI,BP Energy,3.9,Pune,5 - 12 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,12.0,8.5,117
"Benefits Analyst, Total Rewards",Kimberly-Clark,4.0,Pune,3 - 8 ,10000+ Employees,1872,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),3.0,8.0,5.5,153
Senior Credit Risk Analyst,BP Energy,3.9,Pune,4 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),4.0,7.0,5.5,117
FP&A Analytics & Digitization Sustain Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Supply Chain Transformation - Performance Analyst,BP Energy,3.9,Pune,5 - 12 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,12.0,8.5,117
Associate Data Analyst,Optum,3.5,Hyderābād,2 - 10 ,10000+ Employees,-1,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD),2.0,10.0,6.0,-1
Data Analyst,Autodesk,4.2,Bengaluru,1 ,10000+ Employees,1982,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),6.0,8.0,7.0,43
"Sustainability Analyst, Data and Reporting",JLL,3.8,Bengaluru,6 - 8 ,10000+ Employees,-1,Company - Public,Real estate,Real estate,$5 to $10 billion (USD),4.0,8.0,6.0,-1
Data Analyst / PMS Analyst,JiBe ERP,3.6,Navi Mumbai,4 - 8 ,201 to 500 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,5.0,7.0,6.0,10
Aladdin Financial Engineering Quantitative Research Associate,BlackRock Investments,3.9,Gurgaon,5 - 7 ,10000+ Employees,1988,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.0,6.0,4.5,37
Data Analyst,PradeepIT Consulting Services,4.6,Pune,3 - 6 ,51 to 200 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),5.0,8.0,6.5,17
Data Operations Analyst,BP Energy,3.9,Pune,5 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,12.0,9.5,117
"Category Management Analyst, Center of Store",BP Energy,3.9,Pune,7 - 12 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Senior Analyst - Logistics NZ,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
FP&A Business Performance Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,6.0,5.5,117
Business Analyst (Entry Level),Kennect,4.5,Mumbai,5 - 6 ,51 to 200 Employees,2017,Company - Private,Software Development,Information Technology,Less than $1 million (USD),2.0,3.0,2.5,8
Data Analyst,Capgemini Engineering,3.5,Bengaluru,2 - 3 ,10000+ Employees,1967,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),8.0,9.0,8.5,58
Market Data Operations Analyst,"Intercontinental Exchange Holdings, Inc.",3.4,Hyderābād,8 - 9 ,5001 to 10000 Employees,2000,Company - Public,Stock Exchanges,Finance,$5 to $10 billion (USD),2.0,10.0,6.0,25
Data Analyst,Optum,3.5,Hyderābād,2 - 10 ,10000+ Employees,-1,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD),5.0,6.0,5.5,-1
Data Analyst,"Intercontinental Exchange Holdings, Inc.",3.4,Hyderābād,5 - 6 ,5001 to 10000 Employees,2000,Company - Public,Stock Exchanges,Finance,$5 to $10 billion (USD),4.0,8.0,6.0,25
Junior Data Analyst (F),coolboots,2.6,Gurgaon,4 - 8 ,51 to 200 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,4.0,8.0,6.0,-1
Analyst-Data Analytics,Amex,4.1,Gurgaon,4 - 8 ,10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD),6.0,8.0,7.0,175
Market Research Data Analyst,Robas Research,3.7,Bengaluru,6 - 8 ,1 to 50 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.0,8.0,6.0,13
Data Analyst,Godaam Innovations,4.0,Nashik,4 - 8 ,1 to 50 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,6.0,7.0,6.5,-1
Financial Analyst 1,Hewlett Packard,4.0,Bengaluru,6 - 7 ,10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,5.0,9.0,7.0,86
Data Analyst - GCSS,Whatfix,3.6,Bengaluru,5 - 9 ,501 to 1000 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$25 to $50 million (USD),4.0,7.0,5.5,12
Junior Risk Analyst,Invesco,3.8,Hyderābād,4 - 7 ,5001 to 10000 Employees,1935,Company - Public,Investment & Asset Management,Finance,Unknown / Non-Applicable,3.0,7.0,5.0,90
Data Analysis,Leventm Technologies,5.0,Bengaluru,3 - 7 ,1 to 50 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),6.0,7.0,6.5,7
FBT Data Operations - Document Control & Engineering Data Analyst,BP Energy,3.9,Pune,6 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Benchmarking Analyst - TSI,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,12.0,8.5,117
Supply Chain Transformation - Performance Analyst,BP Energy,3.9,Pune,5 - 12 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,8.0,6.5,117
Solution Design Analyst – Demand and Supply Planning (Kinaxis Maestro),BP Energy,3.9,Pune,5 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),1.0,2.0,1.5,117
"Scaled Abuse Analyst, Trust & Safety, YouTube",YouTube,4.4,Hyderābād,1 - 2 ,1001 to 5000 Employees,2005,Subsidiary or Business Segment,Internet & Web Services,Information Technology,Unknown / Non-Applicable,6.0,9.0,7.5,20
Data Analyst,Nineleaps,4.0,Bengaluru,6 - 9 ,201 to 500 Employees,2014,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.0,6.0,5.0,11
Data Research Analyst,Morningstar,4.0,Navi Mumbai,4 - 6 ,10000+ Employees,1984,Company - Public,Research and development,Management and consulting,$2 to $5 billion (USD),5.0,7.0,6.0,41
Junior Data Analyst (PGDM Finance Freshers),Institutional Shareholder Services,3.5,Mumbai,5 - 7 ,1001 to 5000 Employees,1985,Unknown,Research and development,Management and consulting,$25 to $50 million (USD),4.0,8.0,6.0,40
DATA ANALYST (FINANCE),Headphone Zone,2.5,Mumbai,4 - 8 ,51 to 200 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,2.0,10.0,6.0,-1
Data Analyst,ScopeHR Services,5.0,India,2 - 10 ,1 to 50 Employees,2012,Private Practice / Firm,HR Consulting,Human resources and staffing,Unknown / Non-Applicable,4.0,6.0,5.0,13
Data Analyst (Tableau),SailPoint,4.6,Pune,4 - 6 ,1001 to 5000 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),4.0,8.0,6.0,20
Data Analyst/Power BI,SourceMash Technologies,3.3,Mohali,4 - 8 ,51 to 200 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,4.0,7.0,5.5,-1
Data Visualization Analyst,Linesight,4.0,Mumbai,4 - 7 ,501 to 1000 Employees,1974,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable,7.0,9.0,8.0,51
"Client Reporting Production CX, Analyst",BlackRock Investments,3.9,Mumbai,7 - 9 ,10000+ Employees,1988,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),4.0,8.0,6.0,37
Business Analyst - Logistics Analyst,Genpact,3.9,Hyderābād,4 - 8 ,10000+ Employees,1997,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),8.0,9.0,8.5,28
Business Analyst,Cleartax,3.6,Bengaluru,8 - 9 ,1001 to 5000 Employees,2011,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,8.0,9.0,8.5,14
Fresher 2024 | Business Analyst,Propel Technology Group,4.4,Chennai,8 - 9 ,51 to 200 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,7.0,10.0,8.5,-1
Senior Analyst - Logistics AU,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,12.0,9.5,117
"Category Management Analyst, Foodservice and Beverage",BP Energy,3.9,Pune,7 - 12 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),6.0,7.0,6.5,117
Senior AR Analyst,BP Energy,3.9,Pune,6 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,8.0,6.5,117
Systems and Performance Insights Analyst - TSI,BP Energy,3.9,Pune,5 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),3.0,7.0,5.0,117
Risk Assurance - Senior Analyst,Sanofi EU,4.0,Hyderābād,3 - 7 ,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),7.0,10.0,8.5,52
FP&A Control Senior Analyst Oil & Gas,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
FP&A Cost Performance Sr Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
FP&A O&G Data Modelling Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),3.0,10.0,6.5,117
Analyst EDC Data Acquisition Expert - Mumbai/Bangalore/Hyderabad,Johnson & Johnson,4.1,Mumbai,3 - 10 ,10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),4.0,8.0,6.0,138
Data Analyst,Cindrebay School of Design,4.3,Cannanore,4 - 8 ,Unknown,-1,Company - Public,--,--,Unknown / Non-Applicable,7.0,10.0,8.5,-1
Global Planning Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),3.0,5.0,4.0,117
FBT Data Operations - Document Control & Engineering Data Senior Analyst,BP Energy,3.9,Pune,3 - 5 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),3.0,8.0,5.5,117
Inventory Analyst,BP Energy,3.9,Pune,3 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),4.0,7.0,5.5,117
Senior Credit Risk Analyst,BP Energy,3.9,Pune,4 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),4.0,8.0,6.0,117
Business Analyst - L2,Wipro Limited,3.6,Hyderābād,4 - 8 ,10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),2.0,4.0,3.0,80
AM/DM -Data Analyst,Maruti Suzuki India Ltd,3.8,Gurgaon,2 - 4 ,10000+ Employees,-1,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.0,4.0,3.5,-1
Data Analyst,Proziod,3.6,Bengaluru,3 - 4 ,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),6.0,8.0,7.0,9
"Analyst, Business Delivery",Alter Domus,3.4,Hyderābād,6 - 8 ,5001 to 10000 Employees,2003,Company - Private,Accounting & Tax,Finance,Unknown / Non-Applicable,5.0,6.0,5.5,22
ISC -C-BOM Data Analyst,ALSTOM,3.8,Bengaluru,5 - 6 ,10000+ Employees,1928,Company - Public,Rail Transportation,Transportation and logistics,$5 to $10 billion (USD),5.0,8.0,6.5,97
Data Analyst,Matangi Industries,5.0,Ahmedabad,4 ,51 to 200 Employees,-1,Company - Public,--,--,Unknown / Non-Applicable,6.0,8.0,7.0,-1
"Analyst II, Global Financial Data Operations",Kroll,3.5,Hyderābād,5 - 8 ,5001 to 10000 Employees,1932,Company - Private,Financial Transaction Processing,Finance,$2 to $5 billion (USD),7.0,10.0,8.5,93
Data Analyst I,Tekion,3.5,Bengaluru,6 - 8 ,1001 to 5000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,7.0,10.0,8.5,9
Client Data Analyst,JPMorganChase,4.1,Bengaluru,7 - 10 ,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),7.0,10.0,8.5,226
Benchmarking Analyst - TSI,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),2.0,10.0,6.0,117
FP&A Analytics & Digitization Sustain Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),3.0,8.0,5.5,117
"Data Analyst - Power BI, Python and Alteryx",Optum,3.5,Hyderābād,2 - 10 ,10000+ Employees,-1,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD),4.0,7.0,5.5,-1
Business Analyst(Contract),Wipro Limited,3.6,Bengaluru,3 - 8 ,10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),7.0,8.0,7.5,80
Reporting and Analytics Analyst,S&P Global,4.1,Gurgaon,4 - 7 ,10000+ Employees,1860,Company - Public,Research and development,Management and consulting,$10+ billion (USD),3.0,6.0,4.5,165
Python Data Analyst,MSCI Inc,4.1,Mumbai,7 - 8 ,1001 to 5000 Employees,1969,Company - Public,Investment & Asset Management,Finance,$2 to $5 billion (USD),15.0,25.0,20.0,56
Data Analyst,Hexanika,3.4,Pune,3 - 6 ,1 to 50 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,3.0,9.0,6.0,-1
Data Analyst,Sanjay Hyundai,4.3,India,15 - 25 ,1 to 50 Employees,1954,Company - Private,Motor Vehicle Dealers,Retail and wholesale,Unknown / Non-Applicable,4.0,8.0,6.0,71
"System Analyst I, EU Compliance",ADCI HYD 13 SEZ,3.6,Hyderābād,3 - 9 ,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),6.0,15.0,10.5,31
