Job_Title,Company_Name,Ratings,Location,Salary_Estimates,Company_Size,Founding_Year,Type,Industry,Sector,Revenue,Min_Salary,Max_Salary,Avg_Salary,Age
DATA ANALYST,Gemini Exports,3.9,Mumbai,4 - 8 ,1 to 50 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,8.0,10.0,9.0,-1
Procurement Analyst,Altus Group,3.6,Telangana,6 - 15 ,1001 to 5000 Employees,2005,Company - Public,Real estate,Real estate,$100 to $500 million (USD),5.0,8.0,6.5,20
Data Analyst,Prodapt,3.6,Chennai,8 - 10 ,51 to 200 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),5.0,8.0,6.5,-1
Data/Research Analyst,PCDS Infotech,5.0,Mumbai,5 - 8 ,51 to 200 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,5.0,9.0,7.0,-1
Data Analyst 3 (Hyderabad),Hyland Software,3.6,Hyderābād,5 - 8 ,1001 to 5000 Employees,1991,Company - Private,Software Development,Information Technology,$500 million to $1 billion (USD),3.0,5.0,4.0,34
Workforce Planning Analyst - IEX,Optum,3.5,Gurgaon,5 - 9 ,10000+ Employees,-1,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD),5.0,8.0,6.5,-1
FBT Data Operations - Document Control & Engineering Data Senior Analyst,BP Energy,3.9,Pune,3 - 5 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),6.0,7.0,6.5,117
Systems and Performance Insights Analyst - TSI,BP Energy,3.9,Pune,5 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),4.0,7.0,5.5,117
Senior AR Analyst,BP Energy,3.9,Pune,6 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Senior Credit Risk Analyst,BP Energy,3.9,Pune,4 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
FP&A Cost Performance Sr Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),4.0,8.0,6.0,117
FP&A O&G Data Modelling Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,8.0,7.5,117
Data Analyst,altbalaji,2.7,Mumbai,4 - 8 ,51 to 200 Employees,-1,Company - Public,--,--,Unknown / Non-Applicable,8.0,10.0,9.0,-1
Business Analyst,IntouchCX,3.2,Hyderābād,7 - 8 ,10000+ Employees,2000,Company - Private,Business consulting,Management and consulting,$100 to $500 million (USD),2.0,10.0,6.0,25
Internal Audit-Hyderabad-Analyst-Data Analytics,Goldman Sachs,3.8,Hyderābād,8 - 10 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),6.0,8.0,7.0,156
Risk-Analyst-Data Assurance- Analytics & Reporting,Goldman Sachs,3.8,Bengaluru,2 - 10 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.0,7.0,5.0,156
Associate Healthcare Research & Data Analyst,Clarivate,3.6,Noida,6 - 8 ,10000+ Employees,2016,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),20.0,30.0,25.0,9
Data Analyst,Orbit & Skyline,4.0,Mohali,3 - 7 ,201 to 500 Employees,2009,Company - Private,Architectural & Engineering Services,"Construction, repair and maintenance",Unknown / Non-Applicable,6.0,8.0,7.0,16
Data Analyst,Hashtag Infosystem,3.4,India,20 - 30 ,51 to 200 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,7.0,10.0,8.5,-1
Client Data Analyst (ECM Alpha),ION,3.3,Mumbai,6 - 8 ,Unknown,-1,Unknown,Architectural & Engineering Services,"Construction, repair and maintenance",Unknown / Non-Applicable,7.0,10.0,8.5,-1
Global Planning Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,12.0,8.5,117
Senior Analyst - Logistics AU,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),3.0,4.0,3.5,117
Supply Chain Transformation - Performance Analyst,BP Energy,3.9,Pune,5 - 12 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),6.0,8.0,7.0,117
Reporting Analyst,TTEC,3.3,Hyderābād,3 - 4 ,10000+ Employees,1982,Company - Public,HR Consulting,Human resources and staffing,$2 to $5 billion (USD),5.0,8.0,6.5,43
Data Analyst,"Intercontinental Exchange Holdings, Inc.",3.4,Pune,6 - 8 ,5001 to 10000 Employees,2000,Company - Public,Stock Exchanges,Finance,$5 to $10 billion (USD),8.0,10.0,9.0,25
Business Analyst-ARD RETAIL-ARD Retail Portfolio,Kotak Mahindra,3.5,Mumbai,5 - 8 ,10000+ Employees,1985,Company - Public,Banking & Lending,Finance,$2 to $5 billion (USD),5.0,7.0,6.0,40
Specialist - Data Analyst,Loyalytics Consulting,3.8,Bengaluru,8 - 10 ,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,5.0,9.0,7.0,10
Business Data Analyst,Coolberg Beverages,2.6,Mumbai,5 - 6 ,201 to 500 Employees,2016,Company - Private,Food & Beverage Manufacturing,Manufacturing,$5 to $25 million (USD),5.0,8.0,6.5,9
Data Analyst,Kennect,4.5,Mumbai,5 - 7 ,51 to 200 Employees,2017,Company - Private,Software Development,Information Technology,Less than $1 million (USD),4.0,6.0,5.0,8
"Data Analyst / BI Engineer, Business Intelligence",Snowflake,3.9,Pune,5 - 9 ,5001 to 10000 Employees,2012,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),6.0,7.0,6.5,13
Data Analyst,EisnerAmper LLP,3.8,Mumbai,5 - 8 ,1001 to 5000 Employees,1963,Company - Private,Accounting & Tax,Finance,$500 million to $1 billion (USD),10.0,12.0,11.0,62
Asset & Wealth Management Operations - Reporting & Analytics - Analyst - Bengaluru,Goldman Sachs,3.8,Bengaluru,4 - 6 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),6.0,7.0,6.5,156
Asset & Wealth Management Operations - Deposit Fraud - Analyst - Hyderabad,Goldman Sachs,3.8,Hyderābād,6 - 7 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),6.0,7.0,6.5,156
Flight Data Analyst,"AMETEK, Inc.",3.5,Bengaluru,10 - 12 ,10000+ Employees,1930,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),2.0,4.0,3.0,95
"Analyst, Planning & Scheduling",Concentrix,3.9,Bengaluru,6 - 7 ,10000+ Employees,2004,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),5.0,8.0,6.5,21
Data Governance & Management – Analytics Analyst,Deutsche Bank,3.9,Bengaluru,6 - 7 ,10000+ Employees,1870,Company - Public,Banking & Lending,Finance,$10+ billion (USD),3.0,7.0,5.0,155
"Asset & Wealth Management, Client Solutions Group Data Steward, Analyst",Goldman Sachs,3.8,Bengaluru,2 - 4 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),6.0,7.0,6.5,156
Systems and Performance Insights Analyst - TSI,BP Energy,3.9,Pune,5 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Risk Assurance - Senior Analyst,Sanofi EU,4.0,Hyderābād,3 - 7 ,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),4.0,7.0,5.5,52
Senior AR Analyst,BP Energy,3.9,Pune,6 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Benchmarking Analyst - TSI,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),6.0,7.0,6.5,117
Senior Credit Risk Analyst,BP Energy,3.9,Pune,4 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,8.0,6.5,117
FP&A Business Performance Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),3.0,6.0,4.5,117
Asset & Wealth Management Operations - Fraud Strategy - Analyst - Hyderabad,Goldman Sachs,3.8,Bengaluru,6 - 7 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),8.0,10.0,9.0,156
Associate Analyst,SG Analytics,3.2,Pune,5 - 8 ,501 to 1000 Employees,2006,Company - Private,Business consulting,Management and consulting,$25 to $50 million (USD),5.0,6.0,5.5,19
Associate Analyst,EY,3.7,Cochin,3 - 6 ,10000+ Employees,1989,Company - Private,Accounting & Tax,Finance,$10+ billion (USD),2.0,3.0,2.5,36
EDD Analyst II,Coinbase,3.8,Hyderābād,10 ,1001 to 5000 Employees,2012,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,5.0,7.0,6.0,13
Technology & Transformation EAD Engg| Power BI| Consultant,Deloitte,4.0,Bengaluru,8 - 10 ,10000+ Employees,1850,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable,6.0,10.0,8.0,175
Data Analyst Japanese Expert,S&P Global,4.1,Hyderābād,5 - 6 ,10000+ Employees,1860,Company - Public,Research and development,Management and consulting,$10+ billion (USD),3.0,6.0,4.5,165
Associate Research Analyst,IndustryARC,3.4,Hyderābād,2 - 3 ,51 to 200 Employees,2013,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable,6.0,9.0,7.5,12
"Business Systems Analyst - Macro, Excel, Analytical Trouble Shooting",Optum,3.5,Hyderābād,5 - 7 ,10000+ Employees,-1,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD),4.0,8.0,6.0,-1
Data Analyst,KC Overseas Education,4.1,Nāgpur,6 - 10 ,501 to 1000 Employees,1998,Private Practice / Firm,Education Support & Training Services,Education,$100 to $500 million (USD),5.0,10.0,7.5,27
Data Analyst (ETL Tools),Alpha Analytics Services,4.0,Pune,3 - 6 ,51 to 200 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,5.0,8.0,6.5,-1
Analyst | Data Scientist/ Process Optimisation | Bengaluru | Supply Chain & Network Operations,Deloitte,4.0,Bengaluru,6 - 9 ,10000+ Employees,1850,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable,5.0,12.0,8.5,175
Business Analyst - L2,Wipro Limited,3.6,Hyderābād,4 - 8 ,10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),4.0,8.0,6.0,80
Business Data Analyst 2,GP Strategies Corporation,3.5,Chennai,5 - 10 ,1001 to 5000 Employees,1966,Company - Public,Business consulting,Management and consulting,$500 million to $1 billion (USD),5.0,8.0,6.5,59
Power BI Analyst,NetConnect Private Limited,3.2,Bengaluru,5 - 8 ,1001 to 5000 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.0,6.0,4.5,28
Supply Chain Transformation - Performance Analyst,BP Energy,3.9,Pune,5 - 12 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Sourcing Analyst,Solenis,3.7,Hyderābād,4 - 8 ,5001 to 10000 Employees,2014,Company - Private,Chemical Manufacturing,Manufacturing,$2 to $5 billion (USD),6.0,9.0,7.5,11
Data Operations Analyst,BP,3.9,Pune,5 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),3.0,6.0,4.5,117
Data Analyst,Innovative Tech Hub,4.0,Pune,3 - 6 ,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),5.0,8.0,6.5,9
Business Analyst,Solenis,3.7,Hyderābād,6 ,5001 to 10000 Employees,2014,Company - Private,Chemical Manufacturing,Manufacturing,$2 to $5 billion (USD),5.0,6.0,5.5,11
Technical business analyst Data,Virtusa,3.7,Pune,7 - 10 ,10000+ Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),3.0,7.0,5.0,29
Technology Consulting-DP Data Analyst Associate Consultant,KPMG,3.7,Pune,6 - 9 ,10000+ Employees,1987,Company - Private,Business consulting,Management and consulting,$2 to $5 billion (USD),5.0,9.0,7.0,38
Data Operations Financial Analyst,Alter Domus,3.4,Hyderābād,3 - 6 ,5001 to 10000 Employees,2003,Company - Private,Accounting & Tax,Finance,Unknown / Non-Applicable,3.0,8.0,5.5,22
"Analyst I, Global Financial Data Operations",Kroll,3.5,Hyderābād,5 - 8 ,5001 to 10000 Employees,1932,Company - Private,Financial Transaction Processing,Finance,$2 to $5 billion (USD),3.0,9.0,6.0,93
Junior Quantitative Analyst (Equities),Millennium Management,3.6,Mumbai,5 - 6 ,5001 to 10000 Employees,1989,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,5.0,7.0,6.0,36
Data Analyst,AgilizTech Software Services,4.2,Bengaluru,3 - 7 ,1 to 50 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,9.0,11.0,10.0,10
Vendor Risk Management Analyst,Xerox,3.3,Bengaluru,5 - 9 ,10000+ Employees,1906,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),5.0,9.0,7.0,119
Data Analyst,JB Poindexter (India) Private Limited,3.9,Bengaluru,3 - 8 ,5001 to 10000 Employees,1983,Company - Private,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),6.0,7.0,6.5,42
Trainee Business Analyst,Lab-Informatics,3.0,Hyderābād,3 - 9 ,51 to 200 Employees,2019,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),5.0,10.0,7.5,6
HRIS Data Analyst,LRQA group,3.2,Mumbai,5 - 7 ,Unknown,-1,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable,4.0,9.0,6.5,-1
Business Intelligence Analyst,Barclays,3.9,Pune,9 - 11 ,10000+ Employees,1690,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4.0,5.0,4.5,335
"Data Analyst Support, RoW SHARP",ASSPL - Karnataka,3.6,Bengaluru,5 - 9 ,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.0,7.0,5.0,31
FBT Data Operations - Document Control & Engineering Data Analyst,BP Energy,3.9,Pune,6 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,9.0,8.0,117
Business Analyst,JPMorganChase,4.1,Mumbai,5 - 10 ,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),5.0,8.0,6.5,226
Risk Analyst,Khel Group Pvt Ltd,4.2,Mumbai,4 - 9 ,51 to 200 Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,9.0,10.0,9.5,13
Business Analyst,AXA,3.9,Bengaluru,4 - 5 ,10000+ Employees,1985,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),7.0,9.0,8.0,40
Data Analyst,Saven Technologies,3.7,Hyderābād,3 - 7 ,51 to 200 Employees,1994,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.0,9.0,6.5,31
Cash Reporting - Analyst,ALSTOM,3.8,Bengaluru,7 - 9 ,10000+ Employees,1928,Company - Public,Rail Transportation,Transportation and logistics,$5 to $10 billion (USD),6.0,8.0,7.0,97
Data Analyst,Thoucentric,4.0,Bengaluru,5 - 8 ,501 to 1000 Employees,2015,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable,4.0,10.0,7.0,10
Data Analyst – Competitive Benchmarking & Reporting,Reputation,4.0,Hyderābād,9 - 10 ,501 to 1000 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),4.0,7.0,5.5,19
BI Analyst,JLL,3.8,Bengaluru,7 - 9 ,10000+ Employees,-1,Company - Public,Real estate,Real estate,$5 to $10 billion (USD),3.0,7.0,5.0,-1
Research Analyst,BizKonnect Solutions Pvt Ltd.,4.9,Pune,4 ,51 to 200 Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,7.0,10.0,8.5,13
Master Data Analyst,Imerys,3.6,Hyderābād,4 - 9 ,10000+ Employees,1880,Company - Public,Machinery Manufacturing,Manufacturing,$2 to $5 billion (USD),7.0,9.0,8.0,145
Analyst - CMG - ME - Demand Gen - Data Analysis,Deloitte,4.0,Hyderābād,6 - 8 ,10000+ Employees,1850,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable,15.0,20.0,17.5,175
Data Analyst - Growth,Bombay Play,4.3,Bengaluru,4 - 10 ,51 to 200 Employees,2017,Company - Private,Video Game Publishing,Media and communication,Unknown / Non-Applicable,5.0,9.0,7.0,8
Data Analyst,ScaleupAlly,4.1,Noida,4 - 7 ,51 to 200 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),6.0,9.0,7.5,7
Risk Assurance - Senior Analyst,Sanofi EU,4.0,Hyderābād,3 - 7 ,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),7.0,8.0,7.5,52
Benchmarking Analyst - TSI,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),25.0,50.0,37.5,117
Data Analyst,Zeta Global,3.4,Hyderābād,7 - 9 ,1001 to 5000 Employees,2007,Company - Public,Advertising & Public Relations,Media and communication,$100 to $500 million (USD),4.0,8.0,6.0,18
Data Analyst,Peak Performance Advisors (OPS) PVTLTD,5.0,Coimbatore,15 - 20 ,1 to 50 Employees,-1,Self-employed,--,--,Unknown / Non-Applicable,4.0,6.0,5.0,-1
Business Technology Analyst - Financial Planning Analysis and Reporting - Hyderabad,Deloitte,4.0,Hyderābād,5 - 9 ,10000+ Employees,1850,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable,50.0,80.0,65.0,175
"Business Analyst, Associate",Infor,4.0,Hyderābād,6 - 9 ,10000+ Employees,2002,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),4.0,6.0,5.0,23
Data Analyst,Convegenius,4.0,Jammu,7 - 8 ,51 to 200 Employees,2013,Company - Private,Primary & Secondary Schools,Education,$5 to $25 million (USD),4.0,7.0,5.5,12
Data Analyst Engineer,Softqube Technologies Pvt Ltd,4.1,India,25 - 50 ,51 to 200 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,6.0,7.0,6.5,-1
Junior Business Analyst,ApplogiQ,4.3,Tiruppūr,4 - 8 ,51 to 200 Employees,2020,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,5.0,7.0,6.0,5
Data Analyst with Power BI,Gainwell Technologies LLC,3.1,Bengaluru,4 - 6 ,10000+ Employees,2020,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.0,9.0,6.5,5
Data Analyst / Financial Analyst,Thema Corporate Services Llp,4.0,Elpis,50 - 80 ,1 to 50 Employees,-1,Self-employed,HR Consulting,Human resources and staffing,Unknown / Non-Applicable,2.0,10.0,6.0,-1
Data Analyst,VXI Global Solutions,3.7,Hyderābād,4 - 6 ,10000+ Employees,1998,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.0,8.0,6.0,27
"Workforce Analyst, CR WFM",ADCI - BLR 14 SEZ - F07,3.6,Bengaluru,4 - 7 ,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),8.0,10.0,9.0,31
Asset & Wealth Management Operations - Deposit Fraud - Analyst - Hyderabad,Goldman Sachs,3.8,Hyderābād,6 - 7 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),4.0,8.0,6.0,156
Process Analyst,Big Basket,3.7,India,5 - 7 ,1001 to 5000 Employees,2011,Company - Private,Grocery Stores,Retail and wholesale,Unknown / Non-Applicable,8.0,9.0,8.5,14
Risk Advisory Employee Vetting & Background checks Analyst,KPMG,3.7,Pune,4 - 9 ,10000+ Employees,1987,Company - Private,Business consulting,Management and consulting,$2 to $5 billion (USD),3.0,8.0,5.5,38
Business Analyst [Fresher],AddWeb Solution,4.4,Jaipur,3 ,51 to 200 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),3.0,8.0,5.5,13
