Job_Title,Company_Name,Ratings,Location,Salary_Estimates,Company_Size,Founding_Year,Type,Industry,Sector,Revenue,Min_Salary,Max_Salary,Avg_Salary,Age
Data Migration Business Analyst,LSEG (London Stock Exchange Group),3.7,Bengaluru,2 - 10 ,10000+ Employees,1698,Company - Public,Stock Exchanges,Finance,$5 to $10 billion (USD),7.0,8.0,7.5,327
Data Analyst,Stantec,3.9,Pune,4 - 8 ,10000+ Employees,1954,Company - Public,Architectural & Engineering Services,"Construction, repair and maintenance",$2 to $5 billion (USD),4.0,6.0,5.0,71
"Business Analyst Support, CoBRA",ASSPL - Karnataka,3.6,Bengaluru,8 - 10 ,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,10.0,7.0,31
Financial BI Analyst,Reveleer,3.8,Chennai,4 - 8 ,201 to 500 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),7.0,10.0,8.5,16
Research Analyst - Global Power Markets,Wood Mackenzie India Private Limited,3.3,Gurgaon,8 - 9 ,1001 to 5000 Employees,1923,Company - Private,Business consulting,Management and consulting,$100 to $500 million (USD),5.0,8.0,6.5,102
"Asset & Wealth Management, Marketing Analytics & Insights, Analyst, Bengaluru",Goldman Sachs,3.8,Bengaluru,7 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),7.0,10.0,8.5,156
Data Analyst,Camsdata,4.5,Bengaluru,3 - 8 ,51 to 200 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),5.0,8.0,6.5,8
Data Analyst,Proclink,4.2,Ahmedabad,3 - 8 ,1 to 50 Employees,-1,Contract,--,--,Unknown / Non-Applicable,6.0,7.0,6.5,-1
Business Analyst,Barclays,3.9,Pune,7 - 8 ,10000+ Employees,1690,Company - Public,Banking & Lending,Finance,$10+ billion (USD),5.0,8.0,6.5,335
Business Analyst,BizKonnect Solutions Pvt Ltd.,4.9,Pune,4 - 6 ,51 to 200 Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.0,7.0,5.0,13
Risk Advisory Business Analyst Consultant,KPMG,3.7,Mumbai,4 - 10 ,10000+ Employees,1987,Company - Private,Business consulting,Management and consulting,$2 to $5 billion (USD),6.0,8.0,7.0,38
Business Analyst,Virtusa,3.7,Pune,7 - 10 ,10000+ Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),3.0,7.0,5.0,29
Systems and Performance Insights Analyst - TSI,BP Energy,3.9,Pune,5 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),8.0,9.0,8.5,117
Benchmarking Analyst - TSI,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),4.0,6.0,5.0,117
Solution Design Analyst – Demand and Supply Planning (Kinaxis Maestro),BP Energy,3.9,Pune,5 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),3.0,4.0,3.5,117
Asset & Wealth Management Operations - Deposit Fraud - Analyst - Hyderabad,Goldman Sachs,3.8,Hyderābād,6 - 7 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),4.0,7.0,5.5,156
Data Analyst,ALLEN Career Institute,4.1,Kota,5 - 8 ,1001 to 5000 Employees,1988,Company - Private,Education Support & Training Services,Education,$100 to $500 million (USD),4.0,7.0,5.5,37
Finance Data Analyst,ATS Corporation,3.1,Bengaluru,3 - 7 ,201 to 500 Employees,2006,Company - Public,Information Technology Support Services,Information Technology,$25 to $50 million (USD),3.0,8.0,5.5,19
"Asset and Wealth Management, Business Analytics, Analyst, Bengaluru",Goldman Sachs,3.8,Bengaluru,6 - 8 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),6.0,7.0,6.5,156
Data Analyst,Increasingly,4.9,Bengaluru,3 - 7 ,1 to 50 Employees,2017,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,5.0,10.0,7.5,8
Data Analyst,AstraZeneca,4.0,Chennai,8 - 9 ,10000+ Employees,1913,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),5.0,7.0,6.0,112
"Analyst - Supply Chain Data Ops, Governance & Reporting",Lowe's,4.2,Bengaluru,4 - 6 ,1001 to 5000 Employees,1921,Company - Public,Home Furniture & Housewares Stores,Retail and wholesale,$10+ billion (USD),3.0,5.0,4.0,104
"Web Analyst, Management Trainee, B Tech, BCA, MCA",Five Feed Learning Solutions Pvt. Ltd.,3.8,Bengaluru,3 - 4 ,1 to 50 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,25.0,60.0,42.5,-1
Data Governance Analyst,Investec,4.1,Mumbai,4 - 7 ,5001 to 10000 Employees,1974,Company - Public,Investment & Asset Management,Finance,$2 to $5 billion (USD),8.0,9.0,8.5,51
Analyst - Business Consulting Risk - CHS - CNS - Risk - Process & Controls - Mumbai,EY,3.7,Mumbai,4 - 7 ,10000+ Employees,1989,Company - Private,Accounting & Tax,Finance,$10+ billion (USD),4.0,7.0,5.5,36
Business Analyst(Contract),Wipro Limited,3.6,Bengaluru,3 - 8 ,10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),5.0,9.0,7.0,80
Asset & Wealth Management Operations - Deposit Fraud - Analyst - Hyderabad,Goldman Sachs,3.8,Hyderābād,6 - 7 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),4.0,10.0,7.0,156
"Business Analyst, Associate, Change, Analytics & Strategy",Morgan Stanley,3.9,Mumbai,5 - 10 ,10000+ Employees,1935,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),7.0,9.0,8.0,90
Data Analyst,Entain plc,3.4,Hyderābād,5 - 7 ,10000+ Employees,2004,Company - Public,Gambling & Betting,"Arts, entertainment and recreation",$2 to $5 billion (USD),4.0,7.0,5.5,21
Data Research Analyst,VT Netzwelt,4.6,Ahmedabad,3 - 5 ,51 to 200 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),6.0,7.0,6.5,17
MIS Analyst,BVS Global,2.4,Navi Mumbai,25 - 60 ,1 to 50 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,7.0,10.0,8.5,-1
Data Analyst,Bidgely Inc.,3.8,Bengaluru,8 - 9 ,51 to 200 Employees,2010,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,3.0,6.0,4.5,15
Business Operations Analyst,Qualcomm,3.9,Bengaluru,4 - 7 ,10000+ Employees,1985,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),6.0,7.0,6.5,40
FTI System Analyst (Data & AI Business Analyst),Franklin Templeton Investments,3.8,Hyderābād,5 - 9 ,5001 to 10000 Employees,1947,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),5.0,8.0,6.5,78
Python | Data Engineering | Data Analyst,Elite Technocrats,2.8,Surat,4 - 10 ,1 to 50 Employees,-1,College / University,--,--,Unknown / Non-Applicable,6.0,9.0,7.5,-1
Data Analyst,Scry Analytics India Pvt Ltd,4.3,Belgaum,4 ,51 to 200 Employees,2014,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),3.0,4.0,3.5,11
Data Analyst - Pharmaceutical,Takeda Pharmaceutical,3.9,Bengaluru,7 - 9 ,10000+ Employees,1781,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),3.0,8.0,5.5,244
Customer Data Insights Analyst,Avalara,3.4,Pune,4 - 7 ,1001 to 5000 Employees,2004,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,5.0,8.0,6.5,21
FBT Data Operations - Document Control & Engineering Data Analyst,BP Energy,3.9,Pune,6 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,8.0,6.5,117
Global Planning Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),4.0,9.0,6.5,117
GBS Data Operations - Document Control & Engineering Data Senior Analyst,BP Energy,3.9,Pune,3 - 6 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,9.0,7.0,117
Asset & Wealth Management Operations - Deposit Fraud - Analyst - Hyderabad,Goldman Sachs,3.8,Hyderābād,6 - 7 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),4.0,10.0,7.0,156
"Banking - Data Analytics M&A & Capital Markets - C09, Officer - Mumbai",Citi,3.7,Mumbai,5 - 8 ,10000+ Employees,1812,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),4.0,7.0,5.5,213
Credit Risk Controller - Analyst,JPMorganChase,4.1,Bengaluru,6 - 9 ,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),2.0,7.0,4.5,226
"Academic Research Consultant, Academic Research Analyst",Five Feed Learning Solutions Pvt. Ltd.,3.8,Delhi,3 - 4 ,1 to 50 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,7.0,10.0,8.5,-1
Data Analyst,Moving walls India Pvt ltd,3.7,Chennai,3 - 8 ,1 to 50 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,5.0,10.0,7.5,13
"Data Analyst – SQL, Databrick, API & AWS",UST Global,3.8,Pune,5 - 8 ,10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.0,5.0,4.0,26
Operations Analyst I,TravClan Technology India,3.6,Delhi,5 - 8 ,201 to 500 Employees,2018,Company - Private,Travel Agencies,Hotel and travel accommodation,$1 to $5 million (USD),3.0,9.0,6.0,7
EY - GDS Consulting - AI and DATA - SQL -Data Analyst - Senior,EY,3.7,Pune,4 - 9 ,10000+ Employees,1989,Company - Private,Accounting & Tax,Finance,$10+ billion (USD),3.0,8.0,5.5,36
Data Analyst M/F,Geodis,3.4,Bengaluru,5 - 9 ,10000+ Employees,1904,Subsidiary or Business Segment,Shipping & Trucking,Transportation and logistics,$5 to $10 billion (USD),5.0,8.0,6.5,121
"Analyst, Business & Competitive Intelligence",Precision for Medicine,3.4,Bengaluru,4 - 10 ,501 to 1000 Employees,2013,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Unknown / Non-Applicable,3.0,6.0,4.5,12
Reporting Analyst - Power Bi/tableau,SearchUrCollege,4.0,Noida,4 - 7 ,Unknown,-1,Company - Private,--,--,Unknown / Non-Applicable,6.0,8.0,7.0,-1
Analyst- Market Research & Strategy (Wealth Management),Morgan Stanley,3.9,Mumbai,2 - 7 ,10000+ Employees,1935,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.0,7.0,5.0,90
Benchmarking Analyst - TSI,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,10.0,7.5,117
Global Banking & Markets Operations - Fees and Commissions - Analyst - Bengaluru,Goldman Sachs,3.8,Bengaluru,5 - 10 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),7.0,8.0,7.5,156
Data Analyst,Antarctica Global,2.3,Mumbai,12 ,1 to 50 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,4.0,6.0,5.0,-1
Data Analyst,Indus Net Technologies,4.1,Calcutta,3 - 5 ,501 to 1000 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),8.0,9.0,8.5,28
"Data Management, U.S. Wealth Advisory, Analyst",BlackRock Investments,3.9,Gurgaon,3 - 9 ,10000+ Employees,1988,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),5.0,8.0,6.5,37
Sr Business Analyst,CBRE,3.9,Hyderābād,6 - 8 ,10000+ Employees,1906,Company - Public,Real estate,Real estate,Unknown / Non-Applicable,5.0,6.0,5.5,119
Data Analyst,IRIS Business Services Ltd,4.0,Elpis,3 - 8 ,51 to 200 Employees,-1,Company - Private,Advertising & Public Relations,Media and communication,$100 to $500 million (USD),5.0,7.0,6.0,-1
"Sector Analyst, Forum (Equity & Credit Research)",Third Bridge,4.1,Mumbai,5 - 8 ,1001 to 5000 Employees,2007,Company - Private,Research and development,Management and consulting,Unknown / Non-Applicable,5.0,10.0,7.5,18
Data Analyst (Tableau Developer),TRIARQ Health,3.7,Pune,3 - 6 ,51 to 200 Employees,2005,Company - Private,Healthcare Services & Hospitals,Healthcare,$5 to $25 million (USD),5.0,8.0,6.5,20
Associate Analyst- GBS,The Hackett Group,3.9,Hyderābād,6 - 8 ,1001 to 5000 Employees,1997,Company - Public,Business consulting,Management and consulting,$100 to $500 million (USD),2.0,5.0,3.5,28
Integration Data Analyst,Lloyd's Register Group,3.7,Mumbai,3 - 7 ,5001 to 10000 Employees,1760,Company - Private,Business consulting,Management and consulting,$500 million to $1 billion (USD),4.0,9.0,6.5,265
Operational Risk Analyst I - C09 Pune/ Chennai,Citi,3.7,Pune,5 - 10 ,10000+ Employees,1812,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),4.0,6.0,5.0,213
Data Management Analyst,Moody's,3.9,Bengaluru,7 - 8 ,10000+ Employees,1900,Company - Public,Investment & Asset Management,Finance,Unknown / Non-Applicable,1.0,7.0,4.0,125
2200_Investment Risk Analyst,Recruise,4.7,Hyderābād,4 - 6 ,51 to 200 Employees,2006,Company - Private,HR Consulting,Human resources and staffing,Unknown / Non-Applicable,5.0,7.0,6.0,19
Data Analyst,Barclays,3.9,Noida,8 - 9 ,10000+ Employees,1690,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4.0,5.0,4.5,335
"Associate, Business Analyst - R360",Monotype,3.7,Noida,5 - 8 ,501 to 1000 Employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),4.0,8.0,6.0,-1
Translator/Data Analyst (Polish),S&P Global,4.1,Hyderābād,5 - 6 ,10000+ Employees,1860,Company - Public,Research and development,Management and consulting,$10+ billion (USD),3.0,9.0,6.0,165
Data Governance Analyst,S&P Global,4.1,Gurgaon,5 - 7 ,10000+ Employees,1860,Company - Public,Research and development,Management and consulting,$10+ billion (USD),2.0,10.0,6.0,165
Legal & Integrity Operations Developer & Data Analyst,HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED,4.1,Bengaluru,5 - 10 ,10000+ Employees,2020,Company - Private,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),6.0,9.0,7.5,5
Junior Reporting Analyst,Arena Investors I Quaestor Advisors,4.1,Bengaluru,5 - 8 ,51 to 200 Employees,2015,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,6.0,7.0,6.5,10
Data Analyst (ONSITE – EUROPE),Squalas,5.0,Hyderābād,2 - 5 ,1 to 50 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,3.0,7.0,5.0,-1
Associate Analyst,CmaxInsight,3.4,Noida,4 - 9 ,1 to 50 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,5.0,7.0,6.0,-1
Data Analyst,Vixplor Analytics,5.0,Calcutta,4 - 6 ,1 to 50 Employees,-1,Contract,--,--,Unknown / Non-Applicable,4.0,6.0,5.0,-1
Reliability Data Analyst,"Pinnacle Reliability India, PLC",3.3,Hyderābād,1 - 7 ,501 to 1000 Employees,2006,Company - Private,Energy & Utilities,"Energy, mining, utilities",Unknown / Non-Applicable,4.0,10.0,7.0,19
"RCO WFM Analyst, RnC",Amazon Dev Center India - Hyderabad - A85,3.6,Hyderābād,5 - 7 ,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),2.0,3.0,2.5,31
"Manager, Data Analyst (User Insights)",MSD,4.1,Hyderābād,4 - 5 ,10000+ Employees,1891,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),5.0,8.0,6.5,134
Business Analyst - L3,Wipro Limited,3.6,Hyderābād,4 - 8 ,10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),6.0,10.0,8.0,80
Business Analyst,Elorce,3.8,Hyderābād,3 - 9 ,1 to 50 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,6.0,9.0,7.5,-1
"Manager, Data & Analytics",Mondelēz International,3.9,Mumbai,2 - 10 ,5001 to 10000 Employees,2012,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.0,6.0,4.5,13
Data Analyst,Apsidata,3.9,Noida,6 - 9 ,51 to 200 Employees,-1,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,5.0,7.0,6.0,-1
Reporting Analysts,TB India Talent Acquisition,3.9,Gurgaon,4 ,5001 to 10000 Employees,1989,Company - Public,HR Consulting,Human resources and staffing,$2 to $5 billion (USD),3.0,7.0,5.0,36
Management Trainee-PERSONAL LOANS-BIU (Business Intelligence Unit),Kotak Mahindra,3.5,Mumbai,6 - 7 ,10000+ Employees,1985,Company - Public,Banking & Lending,Finance,$2 to $5 billion (USD),6.0,8.0,7.0,40
Junior Business Analyst (Non-Tech),Sciative Solutions,3.7,Navi Mumbai,3 - 7 ,51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.0,6.0,4.5,9
Translator/Data Analyst (Polish),S&P Global,4.1,Gurgaon,5 - 7 ,10000+ Employees,1860,Company - Public,Research and development,Management and consulting,$10+ billion (USD),3.0,8.0,5.5,165
Business Data Analyst,Coolberg Beverages,2.6,Mumbai,4 - 6 ,201 to 500 Employees,2016,Company - Private,Food & Beverage Manufacturing,Manufacturing,$5 to $25 million (USD),3.0,6.0,4.5,9
Business Analyst/Project Manager,"World Wide Technology Holding, LLC",3.9,Pune,4 - 10 ,10000+ Employees,1990,Company - Private,Computer Hardware Development,Information Technology,$10+ billion (USD),4.0,6.0,5.0,35
Research Analyst,Coleda B2B,4.7,Pune,2 - 3 ,201 to 500 Employees,2018,Company - Private,Advertising & Public Relations,Media and communication,Unknown / Non-Applicable,7.0,10.0,8.5,7
Data Analysts,Patio Digital,2.0,Raipur,2 ,1 to 50 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,5.0,8.0,6.5,-1
Data Analyst,Thoucentric,4.0,Gurgaon,5 - 8 ,501 to 1000 Employees,2015,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable,4.0,9.0,6.5,10
"Associate Analyst, Analytics & Metrics",Mastercard,4.2,Gurgaon,6 - 10 ,10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,Unknown / Non-Applicable,3.0,6.0,4.5,59
Data Analyst(AI-LLM),RingCentral,3.4,Bengaluru,6 - 9 ,5001 to 10000 Employees,2003,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 million (USD),5.0,8.0,6.5,22
Commercial Data Analyst,IWG Careers,2.7,Mumbai,3 - 6 ,10000+ Employees,1989,Company - Public,Commercial Equipment Services,"Construction, repair and maintenance",$2 to $5 billion (USD),6.0,8.0,7.0,36
"Analyst, Workforce Management",Evolent Health,3.5,Pune,5 - 7 ,1001 to 5000 Employees,2011,Company - Public,Healthcare Services & Hospitals,Healthcare,$2 to $5 billion (USD),2.0,6.0,4.0,14
Supply Chain Analyst / Trainee,Masycoda Solutions,4.5,Nāgpur,3 - 7 ,1 to 50 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,3.0,4.0,3.5,-1
Research Analyst,Ideapoke,4.0,Bengaluru,6 - 8 ,51 to 200 Employees,2012,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,4.0,8.0,6.0,13
Junior Research Analyst,TechiesGroup IT Solution Pvt Ltd,2.9,Gwalior,3 - 6 ,Unknown,-1,Company - Private,--,--,Unknown / Non-Applicable,4.0,8.0,6.0,-1
Data Analyst,Ethicsinfotech,3.9,Gurgaon,3 - 8 ,Unknown,-1,Company - Public,--,--,Unknown / Non-Applicable,5.0,8.0,6.5,-1
Data Analyst 2,Comcast Corporation,3.8,Chennai,3 - 6 ,10000+ Employees,1963,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),6.0,10.0,8.0,62
Data Analyst with QlikView,ITI Data,4.0,Hyderābād,4 - 6 ,201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,5.0,6.0,5.5,26
Benchmarking Analyst - TSI,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,9.0,8.0,117
Solution Design Analyst – Demand and Supply Planning (Kinaxis Maestro),BP Energy,3.9,Pune,5 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),4.0,5.0,4.5,117
