Job_Title,Company_Name,Ratings,Location,Salary_Estimates,Company_Size,Founding_Year,Type,Industry,Sector,Revenue
Data Analyst,Stantec,3.9,Pune,₹4L - ₹8L (Glassdoor Est.),10000+ Employees,1954,Company - Public,Architectural & Engineering Services,"Construction, repair and maintenance",$2 to $5 billion (USD)
"Business Analyst Support, CoBRA",ASSPL - Karnataka,3.6,Bengaluru,₹8L - ₹10L (Glassdoor Est.),10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Financial BI Analyst,Reveleer,3.8,Chennai,₹4L - ₹8L (Glassdoor Est.),201 to 500 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
Research Analyst - Global Power Markets,Wood Mackenzie India Private Limited,3.3,Gurgaon,₹8L - ₹9L (Glassdoor Est.),1001 to 5000 Employees,1923,Company - Private,Business consulting,Management and consulting,$100 to $500 million (USD)
"Asset & Wealth Management, Marketing Analytics & Insights, Analyst, Bengaluru",Goldman Sachs,3.8,Bengaluru,₹7L (Glassdoor Est.),10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Data Analyst,Camsdata,4.5,Bengaluru,₹3L - ₹8L (Glassdoor Est.),51 to 200 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Data Analyst,Proclink,4.2,Ahmedabad,₹3L - ₹8L (Glassdoor Est.),1 to 50 Employees,--,Contract,--,--,Unknown / Non-Applicable
Business Analyst,Barclays,3.9,Pune,₹7L - ₹8L (Glassdoor Est.),10000+ Employees,1690,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
Business Analyst,BizKonnect Solutions Pvt Ltd.,4.9,Pune,₹4L - ₹6L (Glassdoor Est.),51 to 200 Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Risk Advisory Business Analyst Consultant,KPMG,3.7,Mumbai,₹4L - ₹10L (Glassdoor Est.),10000+ Employees,1987,Company - Private,Business consulting,Management and consulting,$2 to $5 billion (USD)
Business Analyst,Virtusa,3.7,Pune,₹7L - ₹10L (Glassdoor Est.),10000+ Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
Systems and Performance Insights Analyst - TSI,BP Energy,3.9,Pune,₹5L - ₹8L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
Benchmarking Analyst - TSI,BP Energy,3.9,Pune,₹7L - ₹10L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
Solution Design Analyst – Demand and Supply Planning (Kinaxis Maestro),BP Energy,3.9,Pune,₹5L - ₹8L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
Asset & Wealth Management Operations - Deposit Fraud - Analyst - Hyderabad,Goldman Sachs,3.8,Hyderābād,₹6L - ₹7L (Glassdoor Est.),10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Data Analyst,ALLEN Career Institute,4.1,Kota,₹5L - ₹8L (Glassdoor Est.),1001 to 5000 Employees,1988,Company - Private,Education Support & Training Services,Education,$100 to $500 million (USD)
Finance Data Analyst,ATS Corporation,3.1,Bengaluru,₹3L - ₹7L (Glassdoor Est.),201 to 500 Employees,2006,Company - Public,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
"Asset and Wealth Management, Business Analytics, Analyst, Bengaluru",Goldman Sachs,3.8,Bengaluru,₹6L - ₹8L (Glassdoor Est.),10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Data Analyst,Increasingly,4.9,Bengaluru,₹3L - ₹7L (Glassdoor Est.),1 to 50 Employees,2017,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Analyst,AstraZeneca,4.0,Chennai,₹8L - ₹9L (Glassdoor Est.),10000+ Employees,1913,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD)
"Analyst - Supply Chain Data Ops, Governance & Reporting",Lowe's,4.2,Bengaluru,₹4L - ₹6L (Glassdoor Est.),1001 to 5000 Employees,1921,Company - Public,Home Furniture & Housewares Stores,Retail and wholesale,$10+ billion (USD)
"Web Analyst, Management Trainee, B Tech, BCA, MCA",Five Feed Learning Solutions Pvt. Ltd.,3.8,Bengaluru,₹3L - ₹4L (Employer Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Governance Analyst,Investec,4.1,Mumbai,₹4L - ₹7L (Glassdoor Est.),5001 to 10000 Employees,1974,Company - Public,Investment & Asset Management,Finance,$2 to $5 billion (USD)
Analyst - Business Consulting Risk - CHS - CNS - Risk - Process & Controls - Mumbai,EY,3.7,Mumbai,₹4L - ₹7L (Glassdoor Est.),10000+ Employees,1989,Company - Private,Accounting & Tax,Finance,$10+ billion (USD)
Business Analyst(Contract),Wipro Limited,3.6,Bengaluru,₹3L - ₹8L (Glassdoor Est.),10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
Asset & Wealth Management Operations - Deposit Fraud - Analyst - Hyderabad,Goldman Sachs,3.8,Hyderābād,₹6L - ₹7L (Glassdoor Est.),10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
"Business Analyst, Associate, Change, Analytics & Strategy",Morgan Stanley,3.9,Mumbai,₹5L - ₹10L (Glassdoor Est.),10000+ Employees,1935,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Data Analyst,Entain plc,3.4,Hyderābād,₹5L - ₹7L (Glassdoor Est.),10000+ Employees,2004,Company - Public,Gambling & Betting,"Arts, entertainment and recreation",$2 to $5 billion (USD)
Data Research Analyst,VT Netzwelt,4.6,Ahmedabad,₹3L - ₹5L (Glassdoor Est.),51 to 200 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
MIS Analyst,BVS Global,2.4,Navi Mumbai,₹25T - ₹60T (Employer Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Analyst,Bidgely Inc.,3.8,Bengaluru,₹8L - ₹9L (Glassdoor Est.),51 to 200 Employees,2010,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
Business Operations Analyst,Qualcomm,3.9,Bengaluru,₹4L - ₹7L (Glassdoor Est.),10000+ Employees,1985,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
FTI System Analyst (Data & AI Business Analyst),Franklin Templeton Investments,3.8,Hyderābād,₹5L - ₹9L (Glassdoor Est.),5001 to 10000 Employees,1947,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD)
Python | Data Engineering | Data Analyst,Elite Technocrats,2.8,Surat,₹4L - ₹10L (Glassdoor Est.),1 to 50 Employees,--,College / University,--,--,Unknown / Non-Applicable
Data Analyst,Scry Analytics India Pvt Ltd,4.3,Belgaum,₹4L (Glassdoor Est.),51 to 200 Employees,2014,Company - Private,Software Development,Information Technology,$5 to $25 million (USD)
Data Analyst - Pharmaceutical,Takeda Pharmaceutical,3.9,Bengaluru,₹7L - ₹9L (Glassdoor Est.),10000+ Employees,1781,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD)
Customer Data Insights Analyst,Avalara,3.4,Pune,₹4L - ₹7L (Glassdoor Est.),1001 to 5000 Employees,2004,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
FBT Data Operations - Document Control & Engineering Data Analyst,BP Energy,3.9,Pune,₹6L - ₹7L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
Global Planning Analyst,BP Energy,3.9,Pune,₹7L - ₹10L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
GBS Data Operations - Document Control & Engineering Data Senior Analyst,BP Energy,3.9,Pune,₹3L - ₹6L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
Asset & Wealth Management Operations - Deposit Fraud - Analyst - Hyderabad,Goldman Sachs,3.8,Hyderābād,₹6L - ₹7L (Glassdoor Est.),10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
"Banking - Data Analytics M&A & Capital Markets - C09, Officer - Mumbai",Citi,3.7,Mumbai,₹5L - ₹8L (Glassdoor Est.),10000+ Employees,1812,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Credit Risk Controller - Analyst,JPMorganChase,4.1,Bengaluru,₹6L - ₹9L (Glassdoor Est.),10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
"Academic Research Consultant, Academic Research Analyst",Five Feed Learning Solutions Pvt. Ltd.,3.8,Delhi,₹3L - ₹4L (Employer Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Analyst,Moving walls India Pvt ltd,3.7,Chennai,₹3L - ₹8L (Glassdoor Est.),1 to 50 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Data Analyst – SQL, Databrick, API & AWS",UST Global,3.8,Pune,₹5L - ₹8L (Glassdoor Est.),10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Operations Analyst I,TravClan Technology India,3.6,Delhi,₹5L - ₹8L (Employer Est.),201 to 500 Employees,2018,Company - Private,Travel Agencies,Hotel and travel accommodation,$1 to $5 million (USD)
KYC/B Data Analyst,myPOS,3.7,India,₹25.00 Per hour (Employer Est.),51 to 200 Employees,2013,Company - Private,Financial Transaction Processing,Finance,$5 to $25 million (USD)
EY - GDS Consulting - AI and DATA - SQL -Data Analyst - Senior,EY,3.7,Pune,₹4L - ₹9L (Glassdoor Est.),10000+ Employees,1989,Company - Private,Accounting & Tax,Finance,$10+ billion (USD)
Data Analyst M/F,Geodis,3.4,Bengaluru,₹5L - ₹9L (Glassdoor Est.),10000+ Employees,1904,Subsidiary or Business Segment,Shipping & Trucking,Transportation and logistics,$5 to $10 billion (USD)
"Analyst, Business & Competitive Intelligence",Precision for Medicine,3.4,Bengaluru,₹4L - ₹10L (Glassdoor Est.),501 to 1000 Employees,2013,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Unknown / Non-Applicable
Reporting Analyst - Power Bi/tableau,SearchUrCollege,4.0,Noida,₹4L - ₹7L (Employer Est.),Unknown,--,Company - Private,--,--,Unknown / Non-Applicable
Analyst- Market Research & Strategy (Wealth Management),Morgan Stanley,3.9,Mumbai,₹2L - ₹7L (Glassdoor Est.),10000+ Employees,1935,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Benchmarking Analyst - TSI,BP Energy,3.9,Pune,₹7L - ₹10L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
Global Banking & Markets Operations - Fees and Commissions - Analyst - Bengaluru,Goldman Sachs,3.8,Bengaluru,₹5L - ₹10L (Glassdoor Est.),10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Data Analyst,Antarctica Global,2.3,Mumbai,₹12T (Employer Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Analyst,Indus Net Technologies,4.1,Calcutta,₹3L - ₹5L (Glassdoor Est.),501 to 1000 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
"Data Management, U.S. Wealth Advisory, Analyst",BlackRock Investments,3.9,Gurgaon,₹3L - ₹9L (Glassdoor Est.),10000+ Employees,1988,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Sr Business Analyst,CBRE,3.9,Hyderābād,₹6L - ₹8L (Glassdoor Est.),10000+ Employees,1906,Company - Public,Real estate,Real estate,Unknown / Non-Applicable
Data Analyst,IRIS Business Services Ltd,4.0,Elpis,₹3L - ₹8L (Glassdoor Est.),51 to 200 Employees,--,Company - Private,Advertising & Public Relations,Media and communication,$100 to $500 million (USD)
"Sector Analyst, Forum (Equity & Credit Research)",Third Bridge,4.1,Mumbai,₹5L - ₹8L (Glassdoor Est.),1001 to 5000 Employees,2007,Company - Private,Research and development,Management and consulting,Unknown / Non-Applicable
Data Analyst (Tableau Developer),TRIARQ Health,3.7,Pune,₹3L - ₹6L (Glassdoor Est.),51 to 200 Employees,2005,Company - Private,Healthcare Services & Hospitals,Healthcare,$5 to $25 million (USD)
Associate Analyst- GBS,The Hackett Group,3.9,Hyderābād,₹6L - ₹8L (Glassdoor Est.),1001 to 5000 Employees,1997,Company - Public,Business consulting,Management and consulting,$100 to $500 million (USD)
Integration Data Analyst,Lloyd's Register Group,3.7,Mumbai,₹3L - ₹7L (Glassdoor Est.),5001 to 10000 Employees,1760,Company - Private,Business consulting,Management and consulting,$500 million to $1 billion (USD)
Operational Risk Analyst I - C09 Pune/ Chennai,Citi,3.7,Pune,₹5L - ₹10L (Glassdoor Est.),10000+ Employees,1812,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Data Management Analyst,Moody's,3.9,Bengaluru,₹7L - ₹8L (Glassdoor Est.),10000+ Employees,1900,Company - Public,Investment & Asset Management,Finance,Unknown / Non-Applicable
2200_Investment Risk Analyst,Recruise,4.7,Hyderābād,₹4L - ₹6L (Glassdoor Est.),51 to 200 Employees,2006,Company - Private,HR Consulting,Human resources and staffing,Unknown / Non-Applicable
Data Analyst,Barclays,3.9,Noida,₹8L - ₹9L (Glassdoor Est.),10000+ Employees,1690,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
"Associate, Business Analyst - R360",Monotype,3.7,Noida,₹5L - ₹8L (Glassdoor Est.),501 to 1000 Employees,--,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Translator/Data Analyst (Polish),S&P Global,4.1,Hyderābād,₹5L - ₹6L (Glassdoor Est.),10000+ Employees,1860,Company - Public,Research and development,Management and consulting,$10+ billion (USD)
Data Governance Analyst,S&P Global,4.1,Gurgaon,₹5L - ₹7L (Glassdoor Est.),10000+ Employees,1860,Company - Public,Research and development,Management and consulting,$10+ billion (USD)
Legal & Integrity Operations Developer & Data Analyst,HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED,4.1,Bengaluru,₹5L - ₹10L (Glassdoor Est.),10000+ Employees,2020,Company - Private,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
Junior Reporting Analyst,Arena Investors I Quaestor Advisors,4.1,Bengaluru,₹5L - ₹8L (Glassdoor Est.),51 to 200 Employees,2015,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable
Data Analyst (ONSITE – EUROPE),Squalas,5.0,Hyderābād,₹2L - ₹5L (Glassdoor Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Associate Analyst,CmaxInsight,3.4,Noida,₹4L - ₹9L (Glassdoor Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Analyst,Vixplor Analytics,5.0,Calcutta,₹4L - ₹6L (Glassdoor Est.),1 to 50 Employees,--,Contract,--,--,Unknown / Non-Applicable
Reliability Data Analyst,"Pinnacle Reliability India, PLC",3.3,Hyderābād,₹1L - ₹7L (Glassdoor Est.),501 to 1000 Employees,2006,Company - Private,Energy & Utilities,"Energy, mining, utilities",Unknown / Non-Applicable
"RCO WFM Analyst, RnC",Amazon Dev Center India - Hyderabad - A85,3.6,Hyderābād,₹5L - ₹7L (Glassdoor Est.),10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
"Manager, Data Analyst (User Insights)",MSD,4.1,Hyderābād,₹4L - ₹5L (Glassdoor Est.),10000+ Employees,1891,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD)
Business Analyst - L3,Wipro Limited,3.6,Hyderābād,₹4L - ₹8L (Glassdoor Est.),10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
Business Analyst,Elorce,3.8,Hyderābād,₹3L - ₹9L (Glassdoor Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
"Manager, Data & Analytics",Mondelēz International,3.9,Mumbai,₹2L - ₹10L (Glassdoor Est.),5001 to 10000 Employees,2012,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Data Analyst,Apsidata,3.9,Noida,₹6L - ₹9L (Glassdoor Est.),51 to 200 Employees,--,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Reporting Analysts,TB India Talent Acquisition,3.9,Gurgaon,₹4L (Employer Est.),5001 to 10000 Employees,1989,Company - Public,HR Consulting,Human resources and staffing,$2 to $5 billion (USD)
Management Trainee-PERSONAL LOANS-BIU (Business Intelligence Unit),Kotak Mahindra,3.5,Mumbai,₹6L - ₹7L (Glassdoor Est.),10000+ Employees,1985,Company - Public,Banking & Lending,Finance,$2 to $5 billion (USD)
Junior Business Analyst (Non-Tech),Sciative Solutions,3.7,Navi Mumbai,₹3L - ₹7L (Glassdoor Est.),51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Translator/Data Analyst (Polish),S&P Global,4.1,Gurgaon,₹5L - ₹7L (Glassdoor Est.),10000+ Employees,1860,Company - Public,Research and development,Management and consulting,$10+ billion (USD)
Business Data Analyst,Coolberg Beverages,2.6,Mumbai,₹4L - ₹6L (Employer Est.),201 to 500 Employees,2016,Company - Private,Food & Beverage Manufacturing,Manufacturing,$5 to $25 million (USD)
Business Analyst/Project Manager,"World Wide Technology Holding, LLC",3.9,Pune,₹4L - ₹10L (Glassdoor Est.),10000+ Employees,1990,Company - Private,Computer Hardware Development,Information Technology,$10+ billion (USD)
Research Analyst,Coleda B2B,4.7,Pune,₹2L - ₹3L (Glassdoor Est.),201 to 500 Employees,2018,Company - Private,Advertising & Public Relations,Media and communication,Unknown / Non-Applicable
Data Analysts,Patio Digital,2.0,Raipur,₹2L (Employer Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Analyst,Thoucentric,4.0,Gurgaon,₹5L - ₹8L (Glassdoor Est.),501 to 1000 Employees,2015,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable
"Associate Analyst, Analytics & Metrics",Mastercard,4.2,Gurgaon,₹6L - ₹10L (Glassdoor Est.),10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,Unknown / Non-Applicable
Data Analyst(AI-LLM),RingCentral,3.4,Bengaluru,₹6L - ₹9L (Glassdoor Est.),5001 to 10000 Employees,2003,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Commercial Data Analyst,IWG Careers,2.7,Mumbai,₹3L - ₹6L (Glassdoor Est.),10000+ Employees,1989,Company - Public,Commercial Equipment Services,"Construction, repair and maintenance",$2 to $5 billion (USD)
"Analyst, Workforce Management",Evolent Health,3.5,Pune,₹5L - ₹7L (Glassdoor Est.),1001 to 5000 Employees,2011,Company - Public,Healthcare Services & Hospitals,Healthcare,$2 to $5 billion (USD)
Supply Chain Analyst / Trainee,Masycoda Solutions,4.5,Nāgpur,₹3L - ₹7L (Glassdoor Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Research Analyst,Ideapoke,4.0,Bengaluru,₹6L - ₹8L (Glassdoor Est.),51 to 200 Employees,2012,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
Junior Research Analyst,TechiesGroup IT Solution Pvt Ltd,2.9,Gwalior,₹3L - ₹6L (Glassdoor Est.),Unknown,--,Company - Private,--,--,Unknown / Non-Applicable
Data Analyst,Ethicsinfotech,3.9,Gurgaon,₹3L - ₹8L (Glassdoor Est.),Unknown,--,Company - Public,--,--,Unknown / Non-Applicable
Data Analyst 2,Comcast Corporation,3.8,Chennai,₹3L - ₹6L (Glassdoor Est.),10000+ Employees,1963,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Data Analyst with QlikView,ITI Data,4.0,Hyderābād,₹4L - ₹6L (Glassdoor Est.),201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Benchmarking Analyst - TSI,BP Energy,3.9,Pune,₹7L - ₹10L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
Solution Design Analyst – Demand and Supply Planning (Kinaxis Maestro),BP Energy,3.9,Pune,₹5L - ₹8L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
Global Banking & Markets Operations - Policy & Quality Analytics - Analyst - Bengaluru,Goldman Sachs,3.8,Bengaluru,₹4L - ₹9L (Glassdoor Est.),10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
