Job_Title,Company_Name,Ratings,Location,Salary_Estimates,Company_Size,Founding_Year,Type,Industry,Sector,Revenue
Data Analyst,Shubhashray Housing India,4.2,Gurgaon,₹5L (Employer Est.),51 to 200 Employees,--,Company - Private,Real estate,Real estate,Unknown / Non-Applicable
JUNIOR BUSINESS ANALYST,Protocloud Technologies,5.0,Jaipur,₹3L - ₹6L (Glassdoor Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Analytics I,Booking Holdings,4.0,Bengaluru,₹5L - ₹8L (Glassdoor Est.),10000+ Employees,1996,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Business Analyst,Alter Domus,3.4,Hyderābād,₹6L - ₹8L (Glassdoor Est.),5001 to 10000 Employees,2003,Company - Private,Accounting & Tax,Finance,Unknown / Non-Applicable
Data Analysis,Rishi FIBC Solutions,3.1,Vadodara,₹2L - ₹6L (Glassdoor Est.),501 to 1000 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Research Analyst (Operations),Athena Executive Search,3.8,Gurgaon,₹3L - ₹4L (Glassdoor Est.),1 to 50 Employees,2010,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable
FHIR Data Analyst,Infosys Limited,3.6,Bengaluru,₹4L - ₹8L (Glassdoor Est.),10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Business Operations Analyst,FULL Creative,4.0,Chennai,₹4L - ₹8L (Glassdoor Est.),501 to 1000 Employees,--,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
Systems and Performance Insights Analyst - TSI,BP Energy,3.9,Pune,₹5L - ₹8L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
Capital Reporting- Analyst,JPMorganChase,4.1,Mumbai,₹6L - ₹10L (Glassdoor Est.),10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
"Senior Data Analyst, Market Data","Intercontinental Exchange Holdings, Inc.",3.4,Hyderābād,₹5L - ₹6L (Glassdoor Est.),5001 to 10000 Employees,2000,Company - Public,Stock Exchanges,Finance,$5 to $10 billion (USD)
"Business Analyst - Power BI, SCM",Carrier,3.6,Hyderābād,₹7L - ₹9L (Glassdoor Est.),10000+ Employees,1902,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)
Bioinformatics Analyst,Mapmygenome,2.9,Hyderābād,₹4L - ₹5L (Glassdoor Est.),51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Technical Analyst - Research - Derivative,Aditya Birla Group,3.9,Maharashtra,₹3L (Employer Est.),10000+ Employees,1857,Company - Private,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
Deputy Manager_Power BI Data Analyst_Pune,Vodafone,3.9,Pune,₹5L - ₹9L (Glassdoor Est.),10000+ Employees,1984,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Data Analyst,Cummins Inc.,4.0,Pune,₹6L - ₹8L (Glassdoor Est.),10000+ Employees,1919,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Fraud and Risk Analyst,iServeU,4.0,Bhubaneshwar,₹4L - ₹8L (Glassdoor Est.),501 to 1000 Employees,2016,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
Data Analyst - Apprentice,Decision Foundry,4.4,Bengaluru,₹5L - ₹8L (Glassdoor Est.),51 to 200 Employees,2022,Company - Private,Business consulting,Management and consulting,$5 to $25 million (USD)
Data Analyst - Attribution,Numerator,4.3,Vadodara,₹3L - ₹5L (Glassdoor Est.),5001 to 10000 Employees,2004,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD)
Ad Performance Reporting Analyst,SYNERGOS CONSULTING SERVICES,4.2,Bengaluru,₹5L - ₹8L (Glassdoor Est.),Unknown,--,Company - Private,--,--,Unknown / Non-Applicable
MDM Analyst,NielsenIQ,3.8,Pune,₹3L (Glassdoor Est.),10000+ Employees,1923,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Reference Data Analyst,Deutsche Bank,3.9,Bengaluru,₹6L - ₹7L (Glassdoor Est.),10000+ Employees,1870,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
Data Analyst,Flixstock,4.0,Gurgaon,₹4L - ₹8L (Glassdoor Est.),201 to 500 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Scientist Analyst Asset and Wealth Management Risk,JPMorganChase,4.1,Bengaluru,₹3L - ₹5L (Glassdoor Est.),10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
Business Analyst (Work from Office),TechMojo Solutions,4.0,Hyderābād,₹5L - ₹10L (Glassdoor Est.),201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
"Category Management Analyst, Center of Store",BP Energy,3.9,Pune,₹7L - ₹12L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
"Data Analyst (Kafka, API)",ITI Data,4.0,Chennai,₹3L - ₹5L (Glassdoor Est.),201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Senior Analyst - Logistics AU,BP Energy,3.9,Pune,₹7L - ₹10L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
Data Analyst with QlikView,ITI Data,4.0,Hyderābād,₹4L - ₹6L (Glassdoor Est.),201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Benchmarking Analyst - TSI,BP Energy,3.9,Pune,₹7L - ₹10L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
Reference Data Services Analyst 2 - C10 - GURGAON,Citi,3.7,Gurgaon,₹4L - ₹5L (Glassdoor Est.),10000+ Employees,1812,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Reference Data Analyst,Deutsche Bank,3.9,Bengaluru,₹6L - ₹7L (Glassdoor Est.),10000+ Employees,1870,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
Associate Financial Analyst - PowerBI/DAX Expert,Maersk Line,4.0,Pune,₹5L - ₹7L (Glassdoor Est.),10000+ Employees,1928,Subsidiary or Business Segment,Shipping & Trucking,Transportation and logistics,$10+ billion (USD)
"Analyst, Open Banking Analytics",Mastercard,4.2,Navi Mumbai,₹5L - ₹9L (Glassdoor Est.),10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,Unknown / Non-Applicable
Associate Research Analyst,PhillipCapital,3.0,Mumbai,₹6L - ₹10L (Glassdoor Est.),1 to 50 Employees,2010,Company - Private,Financial Transaction Processing,Finance,$5 to $25 million (USD)
Data Analyst,Natwest,4.1,Bengaluru,₹7L - ₹9L (Glassdoor Est.),10000+ Employees,1968,Subsidiary or Business Segment,Banking & Lending,Finance,$10+ billion (USD)
Business Analytics Analyst - C10 - MUMBAI,Citi,3.7,Mumbai,₹6L - ₹10L (Glassdoor Est.),10000+ Employees,1812,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Research Analyst,Finquest,3.7,India,₹3L (Employer Est.),201 to 500 Employees,2016,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable
Asset and Wealth Management - Marketing / Junior Designer - Analyst - Bengaluru,Goldman Sachs,3.8,Bengaluru,₹5L - ₹6L (Glassdoor Est.),10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Research Analyst,HEXAGON CAPITAL ADVISORS,4.3,Bengaluru,₹3L - ₹4L (Glassdoor Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Risk Analyst,PhonePe,4.1,Bengaluru,₹7L - ₹8L (Glassdoor Est.),5001 to 10000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Analyst - Economic Research,GD Research Center,3.4,Hyderābād,₹4L - ₹5L (Glassdoor Est.),1001 to 5000 Employees,2004,Company - Public,Research and development,Management and consulting,$100 to $500 million (USD)
Senior Data Research Analyst,Morningstar,4.0,Navi Mumbai,₹4L - ₹6L (Glassdoor Est.),10000+ Employees,1984,Company - Public,Research and development,Management and consulting,$2 to $5 billion (USD)
Resource Management Information Services – Analyst,Deloitte,4.0,Hyderābād,₹6L - ₹7L (Glassdoor Est.),10000+ Employees,1850,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable
Data Analyst,Vimaan Robotics,3.5,Bengaluru,₹4L - ₹6L (Glassdoor Est.),Unknown,--,Company - Private,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable
Business Analyst - AMZL S&OP,ASSPL - Karnataka,3.6,Bengaluru,₹8L - ₹10L (Glassdoor Est.),10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Business Analyst,Verve Systems,3.7,Ahmedabad,₹96T - ₹1L (Glassdoor Est.),51 to 200 Employees,2009,Private Practice / Firm,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Analytics Solutions Analyst - Team Leader,JPMorganChase,4.1,Hyderābād,₹2L - ₹7L (Glassdoor Est.),10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
Data Analyst,Epiroc AB,4.0,Udaipur,₹4L - ₹8L (Glassdoor Est.),10000+ Employees,--,Company - Public,--,--,Unknown / Non-Applicable
Data Visualization Engineer Tech & Digital Hyderabad India JR00018054,Zoetis,4.0,Hyderābād,₹5L - ₹8L (Glassdoor Est.),10000+ Employees,2013,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$5 to $10 billion (USD)
Careers-Research Analyst,BizRak Web Solutions,4.8,Elūru,₹3L - ₹6L (Glassdoor Est.),Unknown,--,Company - Private,--,--,Unknown / Non-Applicable
"Senior Data Analyst, Data Processing",PureSpectrum,4.0,Hyderābād,₹2L - ₹5L (Glassdoor Est.),51 to 200 Employees,--,Unknown,--,--,Unknown / Non-Applicable
"Senior Data Analyst, IN",DAZN Software Pvt Ltd,2.9,Hyderābād,₹8L - ₹10L (Glassdoor Est.),1001 to 5000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Business Analyst,Snapper IT,4.3,Hyderābād,₹3L - ₹9L (Glassdoor Est.),1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable
Market Research Analyst,Apeiron Global Pvt. Ltd,3.7,Bengaluru,₹4L - ₹8L (Glassdoor Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Research Analyst - BA4,Barclays,3.9,Mumbai,₹8L - ₹9L (Glassdoor Est.),10000+ Employees,1690,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
Research Analyst – Power Markets,"Council on Energy, Environment and Water",3.6,Lucknow,₹11L - ₹12L (Glassdoor Est.),1 to 50 Employees,--,Non-profit Organisation,Research and development,Management and consulting,Unknown / Non-Applicable
"Data Analyst (Kafka, API)",ITI Data,4.0,Chennai,₹3L - ₹5L (Glassdoor Est.),201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Analyst with QlikView,ITI Data,4.0,Hyderābād,₹4L - ₹6L (Glassdoor Est.),201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Analyst-Data Science,Amex,4.1,Gurgaon,₹4L - ₹8L (Glassdoor Est.),10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD)
Market Research Analyst,TecoBytes Solution,3.0,Bengaluru,₹4L - ₹8L (Glassdoor Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Analyst - Business Consulting Risk - CHS - CNS - Risk - Digital Risk - Gurgaon,EY,3.7,Gurgaon,₹5L - ₹7L (Glassdoor Est.),10000+ Employees,1989,Company - Private,Accounting & Tax,Finance,$10+ billion (USD)
Market Research Analyst,Liamtra,4.2,Nagaland,₹15T - ₹25T (Employer Est.),1 to 50 Employees,2019,Company - Private,Travel Agencies,Hotel and travel accommodation,Unknown / Non-Applicable
Business Analyst Trainee - Freshers,SalesCode.ai,3.8,Gurgaon,₹6L - ₹11L (Employer Est.),201 to 500 Employees,2019,Company - Private,Research and development,Management and consulting,Unknown / Non-Applicable
CoRe Research & Insights (Cross-Industry) - Senior Analyst - Hyderabad,Deloitte,4.0,Hyderābād,₹6L - ₹8L (Glassdoor Est.),10000+ Employees,1850,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable
Strategy & Business Intelligence Analyst,JPMorganChase,4.1,Bengaluru,₹7L - ₹8L (Glassdoor Est.),10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
Data Analytics (Research Marketing),Maskoid Technologies,4.5,Vadodara,₹2L - ₹6L (Glassdoor Est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Research Analyst Operation,TechSci Research,2.8,Noida,₹4L - ₹6L (Glassdoor Est.),51 to 200 Employees,2009,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable
Asset and Wealth Management - Fund and Information Management - Analyst - Bengaluru,Goldman Sachs,3.8,Bengaluru,₹6L - ₹7L (Glassdoor Est.),10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Analyst-Data Analytics (Tableau Developer),Amex,4.1,Gurgaon,₹4L - ₹8L (Glassdoor Est.),10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD)
Senior Data Analyst,TELUS Digital -,3.6,Gurgaon,₹3L - ₹4L (Glassdoor Est.),10000+ Employees,2005,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Senior Finance Data Analyst,Keyloop,4.3,Hyderābād,₹2L - ₹6L (Glassdoor Est.),Unknown,--,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
Business Intelligence Analyst,Scrumconnect Consulting,4.7,Bengaluru,₹15L - ₹20L (Employer Est.),201 to 500 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Data Support Analyst – Expert Level – 43166-1,Pantheon Inc.,4.4,Bengaluru,₹5L - ₹9L (Glassdoor Est.),1001 to 5000 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Global Planning Analyst,BP Energy,3.9,Pune,₹7L - ₹10L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
"Category Management Analyst, Foodservice and Beverage",BP Energy,3.9,Pune,₹7L - ₹12L (Glassdoor Est.),10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD)
Senior Data Expert (Data Analyst & Data Modeler)/ Senior Consultant Specialist,HSBC,3.9,Hyderābād,₹7L - ₹8L (Glassdoor Est.),10000+ Employees,1865,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
Business Analyst,Priceline.com,3.8,Mumbai,₹3L - ₹8L (Glassdoor Est.),501 to 1000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Analyst/Senior Analyst – Client Analytics and Performance Reporting,Delta Capita,3.3,Bengaluru,₹4L - ₹7L (Glassdoor Est.),501 to 1000 Employees,2012,Company - Private,Investment & Asset Management,Finance,$25 to $50 million (USD)
Business Intelligence Analyst,Avalara,3.4,Pune,₹3L - ₹6L (Glassdoor Est.),1001 to 5000 Employees,2004,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Data Analyst/SME,Equiniti,3.8,Bengaluru,₹5L - ₹9L (Glassdoor Est.),5001 to 10000 Employees,2007,Company - Private,Financial Transaction Processing,Finance,$100 to $500 million (USD)
Data Visualisation Analyst,Pulsus Group,4.2,Hyderābād,₹2L - ₹4L (Glassdoor Est.),Unknown,--,Company - Private,Publishing,Media and communication,Unknown / Non-Applicable
Data Analyst,Priceline.com,3.8,Mumbai,₹3L - ₹9L (Glassdoor Est.),501 to 1000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Business Intelligence Analyst,Head Digital Works,3.8,Hyderābād,₹5L - ₹7L (Glassdoor Est.),501 to 1000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Business Analyst,Novisync,3.4,Visakhapatnam,₹4L - ₹8L (Glassdoor Est.),51 to 200 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD)
Data Analyst,SIMPLY VYAPAR APPS PRIVATE LIMITED,4.0,Bengaluru,₹6L - ₹10L (Glassdoor Est.),201 to 500 Employees,2016,Company - Private,Accounting & Tax,Finance,Unknown / Non-Applicable
Research Analyst,Net Square Solutions,4.4,Ahmedabad,₹4L - ₹5L (Glassdoor Est.),51 to 200 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Analyst,Expertrons,3.8,Hyderābād,₹8L - ₹15L (Employer Est.),51 to 200 Employees,2019,Company - Private,Education Support & Training Services,Education,Unknown / Non-Applicable
Business Analyst - Data Domain,NTT DATA,3.8,Bengaluru,₹5L - ₹8L (Glassdoor Est.),10000+ Employees,1988,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Global Banking & Markets Operations - Business Intelligence - Associate - Bengaluru,Goldman Sachs,3.8,Bengaluru,₹9L - ₹10L (Glassdoor Est.),10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
Analyst Power BI,Novo Nordisk,4.3,Bengaluru,₹4L - ₹7L (Glassdoor Est.),10000+ Employees,1923,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD)
Business Systems Analyst,Equinix,3.9,Bengaluru,₹5L - ₹8L (Glassdoor Est.),10000+ Employees,1998,Company - Public,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
AI Data Analyst,Techwyse IT Solutions Private Limited,3.8,Cochin,₹35T (Employer Est.),Unknown,--,Company - Public,--,--,Unknown / Non-Applicable
Business Analyst,XL Catlin,3.8,Bengaluru,₹4L - ₹5L (Glassdoor Est.),5001 to 10000 Employees,1986,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD)
Business Analyst (MSI),Maruti Suzuki India Ltd,3.8,Gurgaon,₹4L - ₹7L (Glassdoor Est.),10000+ Employees,--,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Data Analyst,Terrabit Consulting,4.4,Bengaluru,₹10L (Glassdoor Est.),501 to 1000 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Product Analyst,Sciative Solutions,3.7,Navi Mumbai,₹4L - ₹9L (Glassdoor Est.),51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
MEDICAL DATA ANALYST,OMH HealthEdge Holdings,4.0,Navi Mumbai,₹4L - ₹5L (Glassdoor Est.),10000+ Employees,2003,Company - Private,Healthcare Services & Hospitals,Healthcare,$100 to $500 million (USD)
"Business Analyst, EDI (Electronic Data Interchange)","Sensata Technologies, Inc.",3.5,Pune,₹4L - ₹10L (Glassdoor Est.),10000+ Employees,1916,Company - Public,Electronics Manufacturing,Manufacturing,$1 to $5 million (USD)
Senior Analyst - Data Analysis,Tesco India,3.8,Bengaluru,₹6L - ₹10L (Glassdoor Est.),10000+ Employees,1919,Company - Private,Grocery Stores,Retail and wholesale,Unknown / Non-Applicable
Senior Business Analyst,HSBC,3.9,Hyderābād,₹4L - ₹8L (Glassdoor Est.),10000+ Employees,1865,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
Business Intelligence- MIS,5paisa Capital,3.5,Mumbai,₹4L - ₹7L (Glassdoor Est.),201 to 500 Employees,--,Company - Public,--,--,Unknown / Non-Applicable
Financial Reporting Analyst,UPS India,3.5,Chennai,₹4L - ₹9L (Glassdoor Est.),10000+ Employees,1907,Company - Public,Shipping & Trucking,Transportation and logistics,$10+ billion (USD)
Senior Associate - Data Change Analyst,Macquarie Group Limited,3.8,Gurgaon,₹8L - ₹10L (Glassdoor Est.),10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD)
Senior Analyst - Data Analytics,Verint Systems Inc.,4.0,Bengaluru,₹10L (Glassdoor Est.),1001 to 5000 Employees,1994,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Manager - Data Analytics,1 Finance,4.9,Mumbai,₹5L - ₹6L (Glassdoor Est.),51 to 200 Employees,2022,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable
Business Analyst ( 2+ years ),Bhanzu( formerly Exploring Infinities Edtech Private Limited),3.9,Bengaluru,₹5L - ₹8L (Employer Est.),501 to 1000 Employees,2020,Company - Private,Primary & Secondary Schools,Education,Unknown / Non-Applicable
Data Analyst - SCM,Ingersoll Rand,3.6,Chennai,₹3L - ₹7L (Glassdoor Est.),10000+ Employees,1859,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 billion (USD)
